"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2015","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.5",""
"SURVEY","2015","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.97",""
"SURVEY","2015","MARKETING YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.4",""
"SURVEY","2015","MARKETING YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.01",""
"SURVEY","2015","MARKETING YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2015","MARKETING YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","11.7",""
"SURVEY","2015","MARKETING YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.65",""
"SURVEY","2015","MARKETING YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.75",""
"SURVEY","2015","MARKETING YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","12.2",""
"SURVEY","2015","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.05",""
"SURVEY","2015","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.33",""
"SURVEY","2015","MARKETING YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.6",""
"SURVEY","2015","MARKETING YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.2",""
"SURVEY","2015","MARKETING YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.75",""
"SURVEY","2015","MARKETING YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.6",""
"SURVEY","2015","MARKETING YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.25",""
"SURVEY","2015","MARKETING YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.31",""
"SURVEY","2015","MARKETING YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.3",""
"SURVEY","2015","MARKETING YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.6",""
"SURVEY","2015","MARKETING YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.2",""
"SURVEY","2015","MARKETING YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2",""
"SURVEY","2015","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.8",""
"SURVEY","2015","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.29",""
"SURVEY","2015","MARKETING YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2015","MARKETING YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.45",""
"SURVEY","2015","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.2",""
"SURVEY","2015","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","5.34",""
"SURVEY","2015","MARKETING YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.8",""
"SURVEY","2015","MARKETING YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.36",""
"SURVEY","2015","MARKETING YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2015","MARKETING YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.2",""
"SURVEY","2015","MARKETING YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.25",""
"SURVEY","2015","MARKETING YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.11",""
"SURVEY","2015","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.85",""
"SURVEY","2015","MARKETING YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.15",""
"SURVEY","2015","MARKETING YEAR","","STATE","TEXAS","48","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.95",""
"SURVEY","2015","MARKETING YEAR","","STATE","TEXAS","48","","","","","","","00000000","","RICE","RICE - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","13",""
"SURVEY","2015","MARKETING YEAR","","STATE","UTAH","49","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.7",""
"SURVEY","2015","MARKETING YEAR","","STATE","UTAH","49","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.61",""
"SURVEY","2015","MARKETING YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4",""
"SURVEY","2015","MARKETING YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.4",""
"SURVEY","2015","MARKETING YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","4.65",""
"SURVEY","2015","MARKETING YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.52",""
"SURVEY","2015","MARKETING YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.95",""
"SURVEY","2015","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.4",""
"SURVEY","2015","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.81",""
"SURVEY","2015","MARKETING YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","3.6",""
"SURVEY","2015","MARKETING YEAR","","STATE","WYOMING","56","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.86",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ALABAMA","01","BLACK BELT","40","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","18,700",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ALABAMA","01","COASTAL PLAINS & GULF COAST","50","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","15,100",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ALABAMA","01","MOUNTAINS & EASTERN VALLEY","20","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","47,500",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ALABAMA","01","NORTHERN VALLEY","10","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","122,300",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ALABAMA","01","UPPER PLAINS & PIEDMONT","30","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","17,500",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ALABAMA","01","WIREGRASS","60","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","23,900",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","CENTRAL","50","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,200",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","EAST CENTRAL","60","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","151,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","EAST CENTRAL","60","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","534,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","NORTHEAST","30","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","112,200",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","NORTHEAST","30","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","591,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","NORTHWEST","10","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,150",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","OTHER DISTRICTS, ALL COUNTIES","98","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","26,950",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","OTHER DISTRICTS, ALL COUNTIES","98","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","8,400",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","SOUTHEAST","90","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","147,700",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","SOUTHEAST","90","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","147,400",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ARKANSAS","05","WEST CENTRAL","40","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","CALIFORNIA","06","CENTRAL COAST","40","","","","","00000000","","OATS","OATS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,500",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","CALIFORNIA","06","OTHER DISTRICTS, ALL COUNTIES","98","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,400",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","CALIFORNIA","06","OTHER DISTRICTS, ALL COUNTIES","98","","","","","00000000","","OATS","OATS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","8,500",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","CALIFORNIA","06","SACRAMENTO VALLEY","50","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","33,500",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","CALIFORNIA","06","SACRAMENTO VALLEY","50","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","408,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","19,100",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","3,800",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","CALIFORNIA","06","SIERRA MOUNTAINS","60","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","9,200",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","COLORADO","08","EAST CENTRAL","60","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","633,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","COLORADO","08","NORTHEAST","20","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","217,900",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","COLORADO","08","OTHER DISTRICTS, ALL COUNTIES","98","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","80,600",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","COLORADO","08","SOUTHWEST","70","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","18,500",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","DELAWARE","10","CENTRAL","50","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","50,400",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","DELAWARE","10","NORTHERN","20","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","16,900",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","DELAWARE","10","SOUTHERN","80","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","96,700",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","CENTRAL","50","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","19,900",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","EAST CENTRAL","60","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","37,900",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","NORTH CENTRAL","20","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,200",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","NORTHEAST","30","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,200",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","NORTHWEST","10","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","12,100",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","SOUTH CENTRAL","80","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","49,200",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","SOUTHEAST","90","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","22,700",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","SOUTHWEST","70","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","132,600",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","GEORGIA","13","WEST CENTRAL","40","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,200",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","IDAHO","16","OTHER DISTRICTS, ALL COUNTIES","98","","","","","00000000","","OATS","OATS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","15,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ILLINOIS","17","CENTRAL","40","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,555,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ILLINOIS","17","CENTRAL","40","","","","","00000000","","OATS","OATS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,200",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ILLINOIS","17","EAST","50","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,610,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ILLINOIS","17","EAST SOUTHEAST","70","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,524,000",""
"SURVEY","2015","YEAR","","AGRICULTURAL DISTRICT","ILLINOIS","17","EAST SOUTHEAST","70","","","","","00000000","","OATS","OATS - ACRES HARVESTED","TOTAL","NOT SPECIFIED","900",""
